Owner,Player,Standard name,,Position,Price,Spend rank,Actual,Top Starter Bonus,Actual Among Drafted,Count drafted positions,Differential Actual,Differential Among Drafted,Differential Among Drafted w Bonus
Bryan,Seattle Seahawks,Seattle,BryanSeattle,DEF,12,1,1,8,1,15,0,0,8
Mark,San Francisco 49ers,San Francisco,MarkSan Francisco,DEF,5,3,6,3,2,15,-3,1,4
Duncan,Chicago Bears,Chicago,DuncanChicago,DEF,1,4,20,,3,14,-16,1,1
Scott Gunter,Atlanta Falcons,Atlanta,ScottAtlanta,DEF,1,4,30,,4,13,-26,0,0
Luke,Houston Texans,Houston,LukeHouston,DEF,8,2,32,,5,15,-30,-3,-3
Mark,Stephen Gostkowski,Stephen Gostkowski,MarkStephen Gostkowski,K,1,1,1,8,1,15,0,0,8
Duncan,Matt Bryant,Matt Bryant,DuncanMatt Bryant,K,1,1,21,,2,14,-20,-1,-1
Krista,Peyton Manning,Peyton Manning,KristaPeyton Manning,QB,19,3,1,12,1,9,2,2,14
Mark,Drew Brees,Drew Brees,MarkDrew Brees,QB,25,2,2,11,2,15,0,0,11
Patrick,Cam Newton,Cam Newton,PatrickCam Newton,QB,9,6,3,10,3,9,3,3,13
Luke,Andrew Luck,Andrew Luck,LukeAndrew Luck,QB,2,12,4,9,4,15,8,8,17
Bryan,Matthew Stafford,Matthew Stafford,BryanMatthew Stafford,QB,4,9,7,6,5,15,2,4,10
Mark,Russell Wilson,Russell Wilson,MarkRussell Wilson,QB,4,9,8,5,6,15,1,3,8
Kevin,Colin Kapernick,Colin Kaepernick,KJColin Kaepernick,QB,6,8,9,4,7,10,-1,1,5
Luke,Tony Romo,Tony Romo,LukeTony Romo,QB,1,13,10,3,8,15,3,5,8
Duncan,Tom Brady,Tom Brady,DuncanTom Brady,QB,8,7,14,,9,14,-7,-2,-2
Scott Gunter,Matt Ryan,Matt Ryan,ScottMatt Ryan,QB,15,4,15,,10,13,-11,-6,-6
